Vehicle,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
BMW i3,,,,,,,,,,,,,0,0,0,6092,11024,7625,6276,6117,4854,PEV
Mercedes B-Class (B250e),,,,,,,,,,,,,0,0,0,774,1906,632,744,135,9,PEV
BMW i8,,,,,,,,,,,,,0,0,0,555,2265,1594,488,772,1102,PEV
VW e-Golf,,,,,,,,,,,,,0,0,0,357,4232,3937,3534,1354,4863,PEV
Kia Soul EV,,,,,,,,,,,,,0,0,0,359,1015,1728,2157,1134,114,PEV
Porsche Cayenne S E-Hybrid,,,,,,,,,,,,,0,0,0,112,1163,2111,1574,1022,1140,PEV
Mercedes S550 Plug,,,,,,,,,,,,,0,0,0,0,118,550,666,96,371,PEV
Volvo-XC90 Plug In,,,,,,,,,,,,,0,0,0,0,86,2015,2358,1387,1710,PEV
Tesla Model X,,,,,,,,,,,,,0,0,0,0,208,19600,21700,26100,19425,PEV
BMW X5,,,,,,,,,,,,,0,0,0,0,892,5995,5349,4434,167,PEV
Hyundai Sonata Plug In,,,,,,,,,,,,,0,0,0,0,15,3000,2254,460,456,PEV
Audi A3 Plug In,,,,,,,,,,,,,0,0,0,0,0,4280,2877,2597,437,PEV
BMW 3-series Plug-In,,,,,,,,,,,,,0,0,0,0,0,880,4141,2600,705,PEV
Mercedes GLE 550e,,,,,,,,,,,,,0,0,0,0,0,231,463,966,1509,PEV
BMW 7-series Plug-in,,,,,,,,,,,,,0,0,0,0,0,23,707,339,80,PEV
Mercedes C350We,,,,,,,,,,,,,0,0,0,0,0,171,817,1721,2172,PEV
Chevy Bolt,,,,,,,,,,,,,0,0,0,0,0,579,23297,18019,16313,PEV
Kia Optima Plug-in,,,,,,,,,,,,,0,0,0,0,0,0,1512,965,350,PEV
Hyundai Ioniq EV,,,,,,,,,,,,,0,0,0,0,0,0,432,345,739,PEV
Chrysler Pacifica Plug-in Hybrid,,,,,,,,,,,,,0,0,0,0,0,0,2981,7062,5811,PEV
Cadillac CT6,,,,,,,,,,,,,0,0,0,0,0,0,205,231,25,PEV
BMW 5-Series Plug in,,,,,,,,,,,,,0,0,0,0,0,0,3759,8664,5442,PEV
MINI Countryman S E,,,,,,,,,,,,,0,0,0,0,0,0,475,1564,494,PEV
Porsche Panamera 4 E-H,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,PEV
Tesla Model 3,,,,,,,,,,,,,0,0,0,0,0,0,1770,139782,154840,PEV
Honda Clarity BEV,,,,,,,,,,,,,0,0,0,0,0,0,1126,948,742,PEV
Volvo XC60 Plug In,,,,,,,,,,,,,0,0,0,0,0,0,356,2267,1682,PEV
Volvo S90 Plug In,,,,,,,,,,,,,0,0,0,0,0,0,112,437,407,PEV
Honda Clarity Plug-in,,,,,,,,,,,,,0,0,0,0,0,0,903,18602,10728,PEV
Mitsubishi Outlander Plug In,,,,,,,,,,,,,0,0,0,0,0,0,0,4166,2810,PEV
Hyundai Ioniq Plug-In,,,,,,,,,,,,,0,0,0,0,0,0,0,1590,1765,PEV
Kia Niro Plug In,,,,,,,,,,,,,0,0,0,0,0,0,0,3389,4051,PEV
Mercedes GLC 350e Hybrid,,,,,,,,,,,,,0,0,0,0,0,0,0,567,2459,PEV
Jaguar I-Pace,,,,,,,,,,,,,0,0,0,0,0,0,0,393,2594,PEV
Hyundai Kona Electric,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1721,PEV
Subaru Crosstrek Hybrid,,,,,,,,,,,,,0,0,0,0,0,0,0,0,880,PEV
Audi e-tron,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5369,PEV
Kia Niro EV,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1562,PEV
Total,,,,,,,,,,,,,17763,53171,97102,118882,114023,159616,195581,361315,326644,PEV
